Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added
cfclincoln.org,,County Government,Nebraska,accepted term,Lincoln and Lancaster County Area Combined Federal Campaign -- Note added 12/6/13 18:52,http://cfclincoln.org/,6/6/13 18:08
chaffeecounty.org,,County Government,Colorado,accepted term,"Chaffee County, CO -- Note added 7/11/14 5:25",http://chaffeecounty.org/,6/6/13 18:08
charlestoncounty.org,,County Government,South Carolina,accepted term,"charleston county, sc -- Note added 8/28/15 13:21",http://www.charlestoncounty.org/,6/6/13 18:08
charlevoixcounty.org,,County Government,Michigan,accepted term,Charlevoix County -- Note added 9/2/15 20:30,http://charlevoixcounty.org/,6/6/13 18:08
charlotteva.com,,County Government,Virginia,accepted term,"Charlotte County, VA -- Note added 5/30/14 14:02",http://charlotteva.com/,6/6/13 18:08
chathamcounty.org,,County Government,Georgia,accepted term,"Chatham County, Ga -- Note added 8/25/15 14:27",http://www.chathamcounty.org/,6/6/13 18:08
cheboygancounty.net,,County Government,Michigan,accepted term,"cheboygan county, mi -- Note added 9/2/15 20:31",http://www.cheboygancounty.net/,6/6/13 18:08
chemungcounty.com,,County Government,New York,accepted term,"Chemung County, NY -- Note added 6/17/15 17:11",http://www.chemungcounty.com/,6/6/13 18:08
chesco.org,,County Government,Pennsylvania,accepted term,"Chester County, PA -- Note added 7/1/14 19:46",http://chesco.org/,6/6/13 18:08
cheyennecounty.org,,County Government,Kansas,accepted term,"Cheyenne County, KS -- Note added 6/30/14 6:28",http://www.cheyennecounty.org/,6/6/13 18:08
chickasawcoms.com,,County Government,Mississippi,accepted term,"Chickasaw County, MS -- Note added 7/8/14 13:11",http://chickasawcoms.com/,6/6/13 18:08
chiltoncounty.org,,County Government,Alabama,accepted term,"Chilton County, AL -- Note added 7/17/13 13:27",http://www.newchiltoncounty.org/,7/17/13 13:27
churubusco.net,,County Government,Indiana,accepted term,"churubusco, In -- Note added 8/27/15 14:20",http://churubusco.net/,6/6/13 18:08
clackamas.us,,County Government,Oregon,accepted term,"Clackamas County, OR -- Note added 8/28/13 13:03",http://www.clackamas.us/,6/6/13 18:08
claiborneone.org,,County Government,Louisiana,accepted term,"Clairborne Parish, LA -- Note added 8/24/15 14:27",http://www.claiborneparish.org/,6/6/13 18:08
clallam.net,,County Government,Washington,accepted term,"Clallum County, WA -- Note added 11/25/14 6:37",http://clallam.net/,6/6/13 18:08
clareco.net,,County Government,Michigan,accepted term,"clareco, mi -- Note added 9/3/15 14:21",http://clareco.net/,6/6/13 18:08
clarkcountyarkansas.com,,County Government,Arkansas,accepted term,"Clark County, AR -- Note added 7/17/13 18:32",http://clarkcountyarkansas.com/,6/6/13 18:08
clarkcountyil.org,,County Government,Illinois,accepted term,"Clark County, IL -- Note added 7/1/14 20:08",http://clarkcountyil.org/,6/6/13 18:08
clarkecountyal.com,,County Government,Alabama,accepted term,"Clarke County, AL -- Note added 7/15/13 14:49",http://clarkecountyal.com/,6/6/13 18:08
clarkecountyia.org,,County Government,Iowa,accepted term,"Clark County, Ia -- Note added 8/25/15 20:16",http://clarkecountyia.org/ClarkeCounty/mainhome.do;jsessionid=862D99BF59940575A0AB3B083899E6BF,6/6/13 18:08
claycountygov.com,,County Government,Florida,accepted term,"Clay County, FL -- Note added 6/16/15 17:16",http://claycountygov.com/,6/6/13 18:08
claycountysd.org,,County Government,South Dakota,accepted term,"Clay County, SD -- Note added 3/21/14 13:54",http://claycountysd.org/,6/6/13 18:08
clayedu.com,,County Government,Tennessee,accepted term,Clay County Schools -- Note added 6/24/14 6:55,http://clayedu.com/,6/6/13 18:08
